Institute,City,State,Rank,college_id
IIT Madras,Chennai,Tamil Nadu,1,1
IIT Delhi,New Delhi,Delhi,2,2
IIT Bombay,Mumbai,Maharashtra,3,3
IIT Kanpur,Kanpur,Uttar Pradesh,4,4
IIT Kharagpur,Kharagpur,West Bengal,5,5
IIT Roorkee,Roorkee,Uttarakhand,6,6
IIT Guwahati,Guwahati,Assam,7,7
IIT Hyderabad,Hyderabad,Telangana,8,8
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,9
IIT (BHU) Varanasi,Varanasi,Uttar Pradesh,10,10
Vellore Institute of Technology,Vellore,Tamil Nadu,11,11
Jadavpur University,Kolkata,West Bengal,12,12
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,13,13
Anna University,Chennai,Tamil Nadu,14,14
IIT Dhanbad (ISM),Dhanbad,Jharkhand,15,15
IIT Indore,Indore,Madhya Pradesh,16,16
National Institute of Technology Karnataka Surathkal,Surathkal,Karnataka,17,17
IIT Gandhinagar,Gandhinagar,Gujarat,18,18
National Institute of Technology Rourkela,Rourkela,Odisha,19,19
Birla Institute of Technology and Science Pilani,Pilani,Rajasthan,20,20
National Institute of Technology Warangal,Warangal,Telangana,21,21
IIT Ropar,Rupnagar,Punjab,22,22
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23,23
Jamia Millia Islamia,New Delhi,Delhi,24,24
National Institute of Technology Calicut,Kozhikode,Kerala,25,25
Siksha O Anusandhan,Bhubaneswar,Odisha,26,26
Delhi Technological University,New Delhi,Delhi,27,27
IIT Jodhpur,Jodhpur,Rajasthan,28,28
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,29,29
Amity University,Gautam Budh Nagar,Uttar Pradesh,30,30
IIT Mandi,Mandi,Himachal Pradesh,31,31
Chandigarh University,Mohali,Punjab,32,32
Aligarh Muslim University,Aligarh,Uttar Pradesh,33,33
IIT Patna,Patna,Bihar,34,34
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,35,35
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,36,36
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,37,37
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,38,38
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,39
National Institute of Technology Silchar,Silchar,Assam,40,40
Institute of Chemical Technology,Mumbai,Maharashtra,41,41
UPES,Dehradun,Uttarakhand,42,42
Malaviya National Institute of Technology,Jaipur,Rajasthan,43,43
National Institute of Technology Durgapur,Durgapur,West Bengal,44,44
National Institute of Technology Delhi,Delhi,Delhi,45,45
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,46
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,47
Birla Institute of Technology,Ranchi,Jharkhand,48,48
Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,49
Lovely Professional University,Phagwara,Punjab,50,50
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,51
Graphic Era University,Dehradun,Uttarakhand,52,52
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,53
IIT Bhubaneswar,Bhubaneswar,Odisha,54,54
National Institute of Technology Patna,Patna,Bihar,55,55
Manipal Institute of Technology,Manipal,Karnataka,56,56
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,57,57
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,58
Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,59,59
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,60
IIT Tirupati,YERPEDU,Andhra Pradesh,61,61
IIT Jammu,Jammu,Jammu and Kashmir,62,62
Defence Institute of Advanced Technology,Pune,Maharashtra,63,63
Manipal University Jaipur,Jaipur,Rajasthan,64,64
IIT Palakkad,Palakkad,Kerala,65,65
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,66,66
PSG College of Technology,Coimbatore,Tamil Nadu,67,67
National Institute of Technology Meghalaya,Shillong,Meghalaya,68,68
Visvesvaraya Technological University,Belgaum,Karnataka,69,69
University of Hyderabad,Hyderabad,Telangana,70,70
National Institute of Technology Raipur,Raipur,Chhattisgarh,71,71
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,72,72
IIT Bhilai,Raipur,Chhattisgarh,73,73
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,74,74
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75,75
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,76,76
COEP Technological University,Pune,Maharashtra,77,77
Banasthali Vidyapith,Banasthali,Rajasthan,78,78
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,79,79
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,80,80
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,81,81
National Institute of Technology Agartala,Agratala,Tripura,82,82
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,83,83
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,84,84
Indraprastha Institute of Information Technology,New Delhi,Delhi,85,85
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,86,86
Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,87,87
Jawaharlal Nehru Technological University,Hyderabad,Telangana,88,88
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,89,89
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,90,90
Vignan's Foundation for Science Technology and Research,Guntur,Andhra Pradesh,91,91
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92,92
Christ University,Bengaluru,Karnataka,93,93
Chitkara University,Rajpura,Punjab,94,94
Jain University Bangalore,Bengaluru,Karnataka,95,95
C.V. Raman Global University Odisha,Bhubaneswar,Odisha,96,96
National Institute of Technology Puducherry,Karaikal,Pondicherry,97,97
SR University,Warangal,Telangana,98,98
R.V. College of Engineering,Bengaluru,Karnataka,99,99
Siddaganga Institute of Technology,Tumkur,Karnataka,100,100
Amity University,North Twenty Four Parganas,West Bengal,101,101
Amity University Haryana Gurgaon,Gurugram,Haryana,102,102
Amity University Rajasthan Jaipur,Jaipur,Rajasthan,103,103
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,104,104
Chandigarh Engineering College-CGC Landran Mohali,Mohali,Punjab,105,105
Chennai Institute of Technology,Chennai,Tamil Nadu,106,106
Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,107,107
College of Engineering Trivandrum,Thiruvananthapuram,Kerala,108,108
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,109,109
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,110,110
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,111,111
Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,112,112
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,113,113
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Chennai,Tamil Nadu,114,114
IIT Dharwad,Dharwad,Karnataka,115,115
Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,116,116
Jaypee Institute of Information Technology,Noida,Uttar Pradesh,117,117
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,118,118
Kongu Engineering College,Perundurai,Tamil Nadu,119,119
KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,120,120
Mahindra University,Hyderabad,Telangana,121,121
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,122,122
Maulana Abul Kalam Azad University of Technology,Nadia,West Bengal,123,123
Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,124,124
National Institute of Food Technology Entrepreneurship and Management,Thanjavur,Tamil Nadu,125,125
National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh,126,126
National Institute of Technology Goa,Ponda,Goa,127,127
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,128,128
National Institute of Technology Manipur,Imphal,Manipur,129,129
National Institute of Technology Mizoram,Aizawl,Mizoram,130,130
National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,131,131
National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,132,132
Nirma University,Ahmedabad,Gujarat,133,133
Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,134,134
Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,135,135
Pandit Deendayal Energy University,Gandhinagar,Gujarat,136,136
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing (IIITDM) Jabalpur,Jabalpur,Madhya Pradesh,137,137
Panjab University,Chandigarh,Chandigarh,138,138
PES University,Bengaluru,Karnataka,139,139
PSG Institute of Technology and Applied Research,Coimbatore,Tamil Nadu,140,140
Punjab Engineering College (Deemed to be University) Chandigarh,Chandigarh,Chandigarh,141,141
Rajalakshmi Engineering College,Chennai,Tamil Nadu,142,142
Sharda University,Greater Noida,Uttar Pradesh,143,143
Sri Sairam Engineering College,Kancheepuram,Tamil Nadu,144,144
SVKM's Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,145,145
The Northcap University,Gurugram,Haryana,146,146
Thiagarajar College of Engineering,Madurai,Tamil Nadu,147,147
University College of Engineering,Hyderabad,Telangana,148,148
Veermata Jijabai Technological Institute (VJTI Mumbai),Mumbai,Maharashtra,149,149
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,150,150
Annamalai University,Annamalainagar,Tamil Nadu,151,151
Anurag University,Hyderabad,Telangana,152,152
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,153,153
B.M.S. College of Engineering,Bengaluru,Karnataka,154,154
Bansilal Ramnath Agarwal Charitable Trust's Vishwakarama Institute of Technology,Pune,Maharashtra,155,155
Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,156,156
C M R Institute of Technology,Bengaluru,Karnataka,157,157
Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,158,158
CVR College of Engineering,Ibrahimpatan,Telangana,159,159
Dayalbagh Educational Institute,Agra,Uttar Pradesh,160,160
Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,161,161
Easwari Engineering College,Chennai,Tamil Nadu,162,162
G. H. Raisoni College of Engineering Nagpur,Nagpur,Maharashtra,163,163
G. L. A. University,Mathura,Uttar Pradesh,164,164
G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,165,165
Indian Institute of Information Technology Guwahati,Guwahati,Assam,166,166
Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,167,167
Institute of Aeronautical Engineering,Hyderabad,Telangana,168,168
Institute of Engineering & Management,Kolkata,West Bengal,169,169
J. C. Bose University of Science and Technology YMCA,Faridabad,Haryana,170,170
Jawaharlal Nehru Technological University,Ananthapuramu,Andhra Pradesh,171,171
JSPM's Rajarshi Shahu College of Engineering,Pune,Maharashtra,172,172
KIET Group of Institutions: KIET Group of Pharmacy,Ghaziabad,Uttar Pradesh,173,173
KLE Technological University,Dharwad,Karnataka,174,174
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,175,175
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,176,176
Maulana Azad National Urdu University,Hyderabad,Telangana,177,177
National Engineering College,Kovilpatti,Tamil Nadu,178,178
National Institute of Advanced Manufacturing Technology Ranchi,Ranchi,Jharkhand,179,179
National Institute of Food Technology Entrepreneurship and Management,Sonipat,Haryana,180,180
National Institute of Technology Nagaland,Dimapur,Nagaland,181,181
National Institute of Technology Sikkim,South Sikkim,Sikkim,182,182
New Horizon College of Engineering,Bengaluru,Karnataka,183,183
NMAM Institute of Technology,Nitte Udupi,Karnataka,184,184
North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,185,185
R.M.K. Engineering College,Thiruvallur,Tamil Nadu,186,186
Rajalakshmi Institute of Technology,Thiruvallur,Tamil Nadu,187,187
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,188,188
Sona College of Technology,SALEM,Tamil Nadu,189,189
Sri Krishna College of Technology,Coimbatore,Tamil Nadu,190,190
Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu,191,191
Sri Venkateswara College of Engineering,Sriperumbudur,Tamil Nadu,192,192
Tezpur University,Tezpur,Assam,193,193
The National Institute of Engineering,Mysuru,Karnataka,194,194
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,195,195
Vardhaman College of Engineering,Rangareddy,Telangana,196,196
Veer Surendra Sai University of Technology,Burla,Odisha,197,197
Velagapudi Ramakrishna Siddhartha Engineering College,VIJAYAWADA,Andhra Pradesh,198,198
Vignan Institute of Technology and Science,Yadadri-Bhuvangiri,Telangana,199,199
Yeshwantrao Chavan College of Engineering,Nagpur,Maharashtra,200,200
